REGIONID,DATATYPE,DATAVALUE,CALENDAR_DATE,PRETTYDATE
SA1,Scheduled Reserve,1262,2022/06/19 00:00:00,19-Jun-22
SA1,Trading Interval,19:00,2022/06/19 00:00:00,19-Jun-22
SA1,Net Interchange,-761,2022/06/20 00:00:00,20-Jun-22
SA1,Scheduled Capacity,3179,2022/06/20 00:00:00,20-Jun-22
SA1,Scheduled Demand,2106,2022/06/20 00:00:00,20-Jun-22
SA1,Scheduled Reserve,1833,2022/06/20 00:00:00,20-Jun-22
SA1,Trading Interval,19:00,2022/06/20 00:00:00,20-Jun-22
SA1,Net Interchange,-820,2022/06/21 00:00:00,21-Jun-22
SA1,Scheduled Capacity,2879,2022/06/21 00:00:00,21-Jun-22
SA1,Scheduled Demand,2150,2022/06/21 00:00:00,21-Jun-22
SA1,Scheduled Reserve,1548,2022/06/21 00:00:00,21-Jun-22
SA1,Trading Interval,19:00,2022/06/21 00:00:00,21-Jun-22
SA1,Net Interchange,-136,2022/06/22 00:00:00,22-Jun-22
SA1,Scheduled Capacity,2202,2022/06/22 00:00:00,22-Jun-22
SA1,Scheduled Demand,2172,2022/06/22 00:00:00,22-Jun-22
SA1,Scheduled Reserve,166,2022/06/22 00:00:00,22-Jun-22
SA1,Trading Interval,19:00,2022/06/22 00:00:00,22-Jun-22
SA1,Net Interchange,-820,2022/06/23 00:00:00,23-Jun-22
SA1,Scheduled Capacity,3165,2022/06/23 00:00:00,23-Jun-22
SA1,Scheduled Demand,2140,2022/06/23 00:00:00,23-Jun-22
SA1,Scheduled Reserve,1844,2022/06/23 00:00:00,23-Jun-22
SA1,Trading Interval,19:00,2022/06/23 00:00:00,23-Jun-22
TAS1,Net Interchange,478,2022/06/17 00:00:00,17-Jun-22
TAS1,Scheduled Capacity,2120,2022/06/17 00:00:00,17-Jun-22
TAS1,Scheduled Demand,1592,2022/06/17 00:00:00,17-Jun-22
TAS1,Scheduled Reserve,50,2022/06/17 00:00:00,17-Jun-22
TAS1,Trading Interval,08:30,2022/06/17 00:00:00,17-Jun-22
TAS1,Net Interchange,-478,2022/06/18 00:00:00,18-Jun-22
TAS1,Scheduled Capacity,2089,2022/06/18 00:00:00,18-Jun-22
TAS1,Scheduled Demand,1487,2022/06/18 00:00:00,18-Jun-22
TAS1,Scheduled Reserve,1080,2022/06/18 00:00:00,18-Jun-22
TAS1,Trading Interval,18:00,2022/06/18 00:00:00,18-Jun-22
TAS1,Net Interchange,-478,2022/06/19 00:00:00,19-Jun-22
TAS1,Scheduled Capacity,2231,2022/06/19 00:00:00,19-Jun-22
TAS1,Scheduled Demand,1420,2022/06/19 00:00:00,19-Jun-22
TAS1,Scheduled Reserve,1289,2022/06/19 00:00:00,19-Jun-22
TAS1,Trading Interval,18:30,2022/06/19 00:00:00,19-Jun-22
TAS1,Net Interchange,-478,2022/06/20 00:00:00,20-Jun-22
TAS1,Scheduled Capacity,2169,2022/06/20 00:00:00,20-Jun-22
TAS1,Scheduled Demand,1444,2022/06/20 00:00:00,20-Jun-22
TAS1,Scheduled Reserve,1203,2022/06/20 00:00:00,20-Jun-22
TAS1,Trading Interval,18:00,2022/06/20 00:00:00,20-Jun-22
TAS1,Net Interchange,-478,2022/06/21 00:00:00,21-Jun-22
TAS1,Scheduled Capacity,2108,2022/06/21 00:00:00,21-Jun-22
TAS1,Scheduled Demand,1460,2022/06/21 00:00:00,21-Jun-22
TAS1,Scheduled Reserve,1126,2022/06/21 00:00:00,21-Jun-22
TAS1,Trading Interval,18:00,2022/06/21 00:00:00,21-Jun-22
TAS1,Net Interchange,-478,2022/06/22 00:00:00,22-Jun-22
TAS1,Scheduled Capacity,2145,2022/06/22 00:00:00,22-Jun-22
TAS1,Scheduled Demand,1539,2022/06/22 00:00:00,22-Jun-22
TAS1,Scheduled Reserve,1084,2022/06/22 00:00:00,22-Jun-22
TAS1,Trading Interval,18:30,2022/06/22 00:00:00,22-Jun-22
TAS1,Net Interchange,-478,2022/06/23 00:00:00,23-Jun-22
TAS1,Scheduled Capacity,2165,2022/06/23 00:00:00,23-Jun-22
TAS1,Scheduled Demand,1500,2022/06/23 00:00:00,23-Jun-22
TAS1,Scheduled Reserve,1143,2022/06/23 00:00:00,23-Jun-22
TAS1,Trading Interval,18:00,2022/06/23 00:00:00,23-Jun-22
VIC1,Net Interchange,1199,2022/06/17 00:00:00,17-Jun-22
VIC1,Scheduled Capacity,5883,2022/06/17 00:00:00,17-Jun-22
VIC1,Scheduled Demand,6913,2022/06/17 00:00:00,17-Jun-22
VIC1,Scheduled Reserve,-2229,2022/06/17 00:00:00,17-Jun-22
VIC1,Trading Interval,18:30,2022/06/17 00:00:00,17-Jun-22
VIC1,Net Interchange,-1054,2022/06/18 00:00:00,18-Jun-22
VIC1,Scheduled Capacity,7434,2022/06/18 00:00:00,18-Jun-22
VIC1,Scheduled Demand,6447,2022/06/18 00:00:00,18-Jun-22
VIC1,Scheduled Reserve,2041,2022/06/18 00:00:00,18-Jun-22
VIC1,Trading Interval,18:30,2022/06/18 00:00:00,18-Jun-22
VIC1,Net Interchange,-1260,2022/06/19 00:00:00,19-Jun-22
VIC1,Scheduled Capacity,8257,2022/06/19 00:00:00,19-Jun-22
VIC1,Scheduled Demand,6515,2022/06/19 00:00:00,19-Jun-22
VIC1,Scheduled Reserve,3002,2022/06/19 00:00:00,19-Jun-22
VIC1,Trading Interval,18:30,2022/06/19 00:00:00,19-Jun-22
VIC1,Net Interchange,-1424,2022/06/20 00:00:00,20-Jun-22
VIC1,Scheduled Capacity,9487,2022/06/20 00:00:00,20-Jun-22
VIC1,Scheduled Demand,6789,2022/06/20 00:00:00,20-Jun-22
VIC1,Scheduled Reserve,4122,2022/06/20 00:00:00,20-Jun-22
VIC1,Trading Interval,18:30,2022/06/20 00:00:00,20-Jun-22
VIC1,Net Interchange,-1425,2022/06/21 00:00:00,21-Jun-22
VIC1,Scheduled Capacity,8881,2022/06/21 00:00:00,21-Jun-22
VIC1,Scheduled Demand,7064,2022/06/21 00:00:00,21-Jun-22
VIC1,Scheduled Reserve,3241,2022/06/21 00:00:00,21-Jun-22
VIC1,Trading Interval,18:30,2022/06/21 00:00:00,21-Jun-22
VIC1,Net Interchange,-1031,2022/06/22 00:00:00,22-Jun-22
VIC1,Scheduled Capacity,9192,2022/06/22 00:00:00,22-Jun-22
VIC1,Scheduled Demand,7056,2022/06/22 00:00:00,22-Jun-22
VIC1,Scheduled Reserve,3167,2022/06/22 00:00:00,22-Jun-22
VIC1,Trading Interval,18:30,2022/06/22 00:00:00,22-Jun-22
VIC1,Net Interchange,-1513,2022/06/23 00:00:00,23-Jun-22
VIC1,Scheduled Capacity,9023,2022/06/23 00:00:00,23-Jun-22
VIC1,Scheduled Demand,7160,2022/06/23 00:00:00,23-Jun-22
VIC1,Scheduled Reserve,3376,2022/06/23 00:00:00,23-Jun-22
VIC1,Trading Interval,18:30,2022/06/23 00:00:00,23-Jun-22
